id,label,username,name,type,tweet_count,in_degree,out_degree,weighted_in_degree,weighted_out_degree,years,score
4194518691,@MargaPallas,MargaPallas,Marga/❤️ #Yoapoyoalgobierno,user,27,38,97,85,188,2016:21|2017:4|2018:2,354
2236509613,@MariaJosMolina1,MariaJosMolina1,PEPA / ❤,user,18,68,92,142,154,2015:5|2016:5|2017:3|2018:3|2019:2,350
862660331570692096,@alomorma,alomorma,Valle Alonso,user,23,32,61,92,187,2018:18|2019:5,348
2223245203,@bitMomentum,bitMomentum,bitMomentum,user,32,0,74,0,252,2016:3|2018:28|2019:1,348
1221857923,@CurritoRojo,CurritoRojo,currito_rojo / ❤,user,21,14,108,20,259,2015:2|2016:1|2018:4|2019:14,342
469371131,@ggmulet,ggmulet,Guillermo/❤️,user,34,4,98,9,224,2017:3|2018:25|2019:6,335
94208950,@AntonioMaestre,AntonioMaestre,AntonioMaestre,user,43,72,23,83,122,2011:22|2014:17|2019:4,334
1493990196,@mariaro02308418,mariaro02308418,Graciela Rodríguez/🌹💪,user,9,75,64,210,96,2016:2|2017:3|2018:3|2019:1,333
715890348569010176,715890348569010176,,,derived,0,43,0,332,0,,332
9705082,@BrunoCendon,BrunoCendon,Bruno Cendón,user,24,37,65,95,162,2014:5|2015:14|2016:5,329
2892516297,@fgv195353,fgv195353,Francisco,user,35,17,96,26,197,2015:1|2016:11|2017:9|2018:3|2019:11,328
501248574,501248574,,,derived,0,177,0,326,0,,326
1086150461734961152,1086150461734961152,,,derived,0,37,0,321,0,,321
2928623649,@EL_CALIFA_,EL_CALIFA_,CÓRDOBA ۞ 🇵🇸🔻🌹,user,10,6,40,9,271,2018:10,310
104228227,@melchormiralles,melchormiralles,Melchor Miralles,user,57,4,48,5,130,2011:31|2012:19|2013:5|2014:1|2018:1,306
290578135,@ReginoMateo,ReginoMateo,Regino Mateo 💢🏳️‍🌈🏳️‍⚧️🇺🇦🇪🇺,user,31,42,52,91,121,2011:2|2014:5|2015:2|2016:10|2017:2|2018:1|2019:9,305
474687578,474687578,,,derived,0,68,0,303,0,,303
2790857133,@danielsenderos,danielsenderos,Daniel Senderos/♥️,user,36,10,41,18,176,2015:25|2016:9|2017:2,302
1986714635702333441,1986714635702333441,,,derived,0,167,0,299,0,,299
555395673,555395673,,,derived,0,116,0,295,0,,295
411030492,@chabelamendez,chabelamendez,𝗖𝗛𝗔𝗕𝗘𝗟𝗔 𝗠𝗘́𝗡𝗗𝗘𝗭 Abogada de Familia,user,16,53,70,121,125,2014:4|2015:6|2016:3|2017:2|2018:1,294
100332112,100332112,,,derived,0,118,0,292,0,,292
582121875,@JesusLopezBrea,JesusLopezBrea,Jesús López Brea,user,27,27,56,74,134,2014:3|2015:7|2016:9|2017:3|2018:1|2019:4,289
20526714,20526714,,,derived,0,113,0,288,0,,288
579066694,@monchocolatina,monchocolatina,Moncho,user,10,14,29,67,186,2017:10,283
263239619,@WillyLozano,WillyLozano,Guillermo Lozano/✊🌹❤,user,14,84,39,150,89,2016:10|2018:4,281
972071293582479360,@MariLuzGx2,MariLuzGx2,Mari Luz García ♀️,user,14,41,73,102,127,2018:13|2019:1,271
304342684,@AmparoRubiales,AmparoRubiales,Amparo Rubiales,user,0,137,0,269,0,,269
723602759497441280,@JosLuis43262888,JosLuis43262888,JoséLuis_CaDo,user,12,10,32,52,173,2017:12,261
189299117,@ConchiRevuelta,ConchiRevuelta,Concepción Revuelta Oficial,user,18,20,51,53,153,2014:8|2015:7|2016:1|2018:2,260
1205164044,@natxo_saenz,natxo_saenz,Natxo Saenz,user,16,26,67,87,125,2014:1|2015:14|2016:1,260
389961137,@ConchiSolanas,ConchiSolanas,Conchi Solanas,user,17,31,59,76,132,2014:3|2015:11|2016:1|2017:1|2018:1,259
876432007,@mariamg2009,mariamg2009,Maria Murgui,user,6,85,38,154,85,2018:4|2019:2,257
2303009173,@mumaigohereca,mumaigohereca,Khamargum,user,8,4,54,15,215,2018:8,254
129918617,@ANARUBEN,ANARUBEN,ANA G. Sandoval 🌹🌹,user,17,30,82,33,169,2017:7|2018:6|2019:4,253
867035617,@isabel_sez,isabel_sez,Isabel Sáez/❤️,user,30,12,41,21,138,2016:27|2018:2|2019:1,249
2414731079,@JJPPbcn,JJPPbcn,Xavier Parra ||*||,user,6,22,20,139,90,2019:6,247
301583964,@mariagrijelmo,mariagrijelmo,maría a secas ✍🏼,user,10,49,44,128,87,2018:10,245
876059892100075520,876059892100075520,,,derived,0,80,0,245,0,,245
115922356,@antgalan,antgalan,Antonio Galan Talens,user,9,94,29,176,41,2014:1|2016:6|2017:1|2018:1,244
950871986535911424,@Pepa63306772,Pepa63306772,Pepa/♥️,user,13,23,69,35,169,2018:3|2019:10,243
130169225,@FAM63,FAM63,Francisco Almeda,user,15,66,23,123,73,2015:1|2016:13|2018:1,241
15133318,15133318,,,derived,0,68,0,241,0,,241
1286372256,@BelenFGonzalez,BelenFGonzalez,Belen F Gonzalez,user,39,8,33,21,102,2015:19|2016:9|2017:6|2018:2|2019:3,240
955887175823962112,@laherpburn59,laherpburn59,Laherpburn,user,38,16,30,22,101,2018:1|2019:37,237
1012592806144237568,@Trtula2,Trtula2,Trótula,user,12,11,29,35,165,2018:1|2019:11,236
839836740,@antordsal,antordsal,Antonio Ordoñez🦂 🇪🇸 🇪🇺 ✊🏻🌹🌍,user,12,19,87,22,174,2017:2|2018:6|2019:4,232
9352922,@isafomperosa,isafomperosa,Isa Fomperosa,user,18,27,36,70,106,2014:1|2015:4|2016:9|2017:3|2018:1,230
3028776459,@mruiz_gema,mruiz_gema,Gemma Martín R.,user,5,68,31,175,40,2018:3|2019:2,230
760000861,@AuroraElche,AuroraElche,AURORA,user,15,2,88,2,182,2015:3|2016:1|2017:5|2018:6,229
